ID,EN,FR,DE
4398,axle tax,taxe a l'essieu,gebuhr nach achszahl
4399,export tax,taxe a l'exportation,ausfuhrabgabe
4400,import tax,taxe a l'importation,einfuhrabgabe
4401,stamp duty,droits de timbre,stempelsteuer
4402,countervailing charge,taxe compensatoire,ausgleichsabgabe
4403,charge having equivalent effect,taxe d'effet equivalent,abgabe gleicher wirkung
4404,producer co-responsibility,coresponsabilite des producteurs,mitverantwortung der erzeuger
4405,transit charge,taxe de transit,durchfuhrabgabe
4406,business tax,taxe professionnelle,gewerbesteuer
4407,fuel tax,taxe sur les carburants,treibstoffsteuer
4408,civil aviation,aviation civile,zivilluftfahrt
4409,vehicle tax,taxe sur les vehicules,kraftfahrzeugsteuer
4410,chad,tchad,tschad
4411,czechoslovakia,tchecoslovaquie,tschechoslowakei
4412,cultivation techniques,technique culturale,anbautechnik
4413,management techniques,technique de gestion,managementtechnik
4414,building services,equipement du batiment,gebaudeausrustung
4415,technology,technologie,technologie
4416,food technology,technologie alimentaire,lebensmitteltechnologie
4417,military aircraft,aviation militaire,militarflugzeuge
4418,materials technology,technologie des materiaux,materialtechnologie
4419,soft technology,technologie douce,sanfte technologie
4420,energy technology,technologie energetique,energietechnologie
4421,intermediate technology,technologie intermediaire,vermittelnde technologie
4422,nuclear technology,technologie nucleaire,kerntechnologie
4423,oil technology,technologie petroliere,erdoltechnologie
4424,telecommunications,telecommunication,telekommunikation
4425,facsimile,telecopie,telekopie
4426,remote sensing,teledetection,fernerkundung
4427,poultry farming,aviculture,geflugelzucht
4428,cable distribution,teledistribution,kabelfernsehen
4429,telegraph,telegraphe,telegrammdienst
4430,telematics,telematique,telematik
4431,telephone,telephone,telefon
4432,television,television,fernsehen
4433,telex,telex,telexdienst
4434,evidence,temoignage,zeugenaussage
4435,rest period,temps de repos,ruhezeit
4436,political tendency,tendance politique,politische richtung
4437,european monetary agreement,accord monetaire europeen,europaisches wahrungsabkommen
4438,aircraft,avion,flugzeug
4439,mental stress,tension mentale,stress
4440,terms of trade,terme de l'echange,terms of trade
4441,terminology,terminologie,terminologie
4442,building plot,terrain a batir,baugelande
4443,industrial plot,terrain industriel,industriegelande
4444,abandoned land,terre abandonnee,sozialbrache
4445,agricultural land,terre agricole,landwirtschaftliche nutzflache
4446,state-owned land,terre domaniale,staatseigenes land
4447,uncultivated land,terre inculte,odland
4448,arable land,terre labourable,ackerland
4449,opinion,avis,stellungnahme
4450,reclaimed land,terre recuperee,neuland
4451,overseas territory,territoire d'outre-mer,uberseeisches gebiet
4452,terrorism,terrorisme,terrorismus
4453,thailand,thailande,thailand
4454,tea,the,tee
4455,therapeutics,therapeutique,therapeutik
4456,thesis,these,hochschulschrift
4457,ec opinion,avis ce,stellungnahme eg
4458,thessaly,thessalie,thessalien
4460,timor,timor,timor
4461,east timor,timor-oriental,timor-leste
4462,titanium,titane,titan
4463,negotiable instrument,titre de credit,wechsel
4464,ticket,titre de transport,beforderungsausweis
4465,togo,togo,togo
4466,tonga,tonga,tonga
4467,torture,torture,folter
4468,tuscany,toscane,toskana
4469,peat,tourbe,torf
4470,tourism,tourisme,tourismus
4471,mass tourism,tourisme de masse,massentourismus
4472,sunflower,tournesol,sonnenblume
4473,ep opinion,avis pe,stellungnahme ep
4474,toxicology,toxicologie,toxikologie
4475,drug addiction,toxicomanie,rauschgiftsucht
4476,tractor,tracteur,landwirtschaftliche zugmaschine
4477,trade expansion act,trade expansion act,trade expansion act
4478,translation,traduction,ubersetzen
4479,eu treaties,traites de l'ue,eu-vertrage
4480,ecsc treaty,traite ceca,egks-vertrag
4481,eec treaty,traite cee,ewg-vertrag
4482,eaec treaty,traite ceea,eag-vertrag
4483,warsaw pact countries,pays du pacte de varsovie,staaten des warschauer pakts
4484,milking machine,machine a traire,melkmaschine
4485,water treatment,traitement de l'eau,wasseraufbereitung
4486,information processing,traitement de l'information,informationsverarbeitung
4487,word processing,traitement de texte,textverarbeitung
4488,data processing,traitement des donnees,datenverarbeitung
4489,ore processing,traitement du minerai,erzaufbereitung
4490,plant health treatment,traitement phytosanitaire,pflanzenschutzverfahren
4491,financial transaction,transaction financiere,kapitaltransaktion
4492,transfer of businesses,transfert d'entreprise,unternehmensverlagerung
4493,capital transfer,transfert de capitaux,kapitaltransfer
4494,transfer of pension rights,transfert de droit a pension,ubertragung des rentenanspruchs
4495,transfer of population,transfert de population,umsiedlung
4496,technology transfer,transfert de technologie,technologietransfer
4497,oats,avoine,hafer
4498,food processing,transformation alimentaire,lebensmittelverarbeitung
4499,community transit,transit communautaire,gemeinschaftliches versandverfahren
4500,customs transit,transit douanier,zollgutversand
4501,transliteration,translitteration,transliteration
4502,data transmission,transmission de donnees,datenubertragung
4503,transfer of property,transmission de la propriete,eigentumsubertragung
4504,abortion,avortement,abtreibung
4505,air transport,transport aerien,beforderung auf dem luftweg
4506,combined transport,transport combine,kombinierter transport
4507,energy transport,transport d'energie,energietransport
4508,hinterland transport,transport dans l'arriere-pays,transport ins hinterland
4509,carriage of goods,transport de marchandises,guterverkehr
4510,surface transport,transport de surface,beforderung zu wasser und zu lande
4511,carriage of passengers,transport de voyageurs,personenverkehr
4512,public transport,transport en commun,massenbeforderung
4513,illegal abortion,avortement illegal,illegale abtreibung
4514,rail transport,transport ferroviaire,schienentransport
4515,inland waterway transport,transport par voie navigable,binnenschiffsverkehr
4516,private means of transport,transport individuel,individualverkehr
4517,intercontinental transport,transport intercontinental,interkontinentaler transport
4518,inland transport,transport interieur,binnentransport
4519,international transport,transport international,grenzuberschreitender transport
4520,international road transport,transport international routier,internationaler guterkraftverkehr
4521,intra-community transport,transport intracommunautaire,innergemeinschaftlicher transport
4522,maritime transport,transport maritime,beforderung auf dem seeweg
4524,multifibre agreement,accord multifibres,allfaserabkommen
4525,therapeutic abortion,avortement therapeutique,indizierte abtreibung
4526,national transport,transport national,nationaler transport
4527,cable transport,transport par cable,transport uber kabel
4528,pipeline transport,transport par conduite,transport uber rohr
4529,carriage for hire or reward,transport pour compte de tiers,gewerblicher verkehr
4530,own-account transport,transport pour compte propre,werkverkehr
4531,means of public conveyance,transport public,beforderung mit offentlichen verkehrsmitteln
4532,regional transport,transport regional,regionaler transport
4533,road transport,transport routier,transport uber strasse
4534,school transport,transport scolaire,schulbusdienst
4535,semi-public transport,transport semi-collectif,halboffentlicher verkehr
4536,transport under customs control,transport sous douane,beforderung unter zollverschluss
4537,underground transport,transport souterrain,unterirdischer transport
4538,suburban transport,transport suburbain,vorortbeforderung
4539,land transport,transport terrestre,landverkehr
4540,transfrontier transport,transport transfrontalier,grenzverkehr
4541,urban transport,transport urbain,stadtische verkehrsmittel
4542,carrier,transporteur,transportunternehmer
4543,work,travail,arbeit
4544,home working,travail a domicile,heimarbeit
4545,nitrogen,azote,stickstoff
4546,assembly line work,travail a la chaine,fliessbandarbeit
4547,full-time employment,travail a plein-temps,vollzeitarbeit
4548,part-time employment,travail a temps partiel,teilzeitarbeit
4549,moonlighting,travail au noir,schwarzarbeit
4550,team work,travail d'equipe,teamarbeit
4551,night work,travail de nuit,nachtarbeit
4552,child labour,travail des enfants,kinderarbeit
4553,shift work,travail par roulement,schichtarbeit
4554,schoolwork,travail scolaire,schulisches arbeiten
4555,older worker,travailleur age,alterer arbeitnehmer
4556,clandestine worker,travailleur clandestin,schwarzarbeiter
4557,community worker,travailleur communautaire,arbeitnehmer aus der gemeinschaft
4558,frontier worker,travailleur frontalier,grenzganger
4559,worker with disabilities,travailleur handicape,behinderter arbeitnehmer
4560,baden-wurttemberg,bade-wurtemberg,baden-wurttemberg
4561,manual worker,travailleur manuel,handarbeiter
4562,migrant worker,travailleur migrant,wanderarbeitnehmer
4563,seasonal worker,travailleur saisonnier,saisonarbeiter
4564,social worker,travailleur social,sozialarbeiter
4565,public works,travaux publics,offentliches bauwesen
4566,clover,trefle,klee
4567,bahamas,bahamas,bahamas
4568,trentino-alto adige,trentin-haut-adige,trentino-tiroler etschland
4569,treasury,tresor,staatskasse
4570,trinidad and tobago,trinidad-et-tobago,trinidad und tobago
4571,triticale,triticale,triticum
4572,bahrain,bahrein,bahrain
4573,barter,troc,tauschhandel
4574,trust,trust,trust
4575,tube,tube,rohr
4576,animal tuberculosis,tuberculose animale,tiertuberkulose
4577,tungsten,tungstene,wolfram
4578,tunisia,tunisie,tunesien
4579,turbine,turbine,turbine
4580,turkey,turquie,die turkei
4581,guardianship,tutelle,vormundschaft
4582,soft fruit,fruit a baie,beerenfrucht
4583,tuvalu,tuvalu,tuvalu
4584,piping,tuyauterie,rohre
4585,vat,tva,mwst.
4586,central african economic and monetary community,communaute economique et monetaire de l'afrique centrale,zentralafrikanische wirtschafts- und wahrungsgemeinschaft
4587,caemc countries,pays de la cemac,cemac-staaten
4588,belgo-luxembourg economic union,union economique belgo-luxembourgeoise,belgisch-luxemburgische wirtschaftsunion
4590,weu countries,pays de l'ueo,weu-staaten
4591,international telecommunication union,union internationale des telecommunications,internationale fernmelde-union
4593,unanimity,unanimite,einstimmigkeit
4594,un centre for regional development,centre des nations unies pour le developpement regional,zentrum der vereinten nationen fur regionalentwicklung
4595,unesco,unesco,unesco
4596,national unification,unification nationale,nationale einigung
4597,western european union,union de l'europe occidentale,westeuropaische union
4598,lease,bail,mietvertrag
4600,customs union,union douaniere,zollunion
4601,economic union,union economique,wirtschaftsunion
4602,economic and monetary union,union economique et monetaire,wirtschafts- und wahrungsunion
4603,european payments union,union europeenne des paiements,europaische zahlungsunion
4604,interparliamentary union,union interparlementaire,interparlamentarische union
4605,preferential agreement,accord preferentiel,praferenzabkommen
4606,business lease,bail commercial,gewerblicher mietvertrag
4607,waemu countries,pays de l'uemoa,uemoa-staaten
4608,monetary union,union monetaire,wahrungsunion
4610,unisist,unisist,unisist
4611,un institute for training and research,institut des nations unies pour la formation et la recherche,ausbildungs- und forschungsinstitut der vereinten nationen
4612,livestock unit,unite de betail,vieheinheit
